path,age
/opt/ml/input/ext_data/megaage_asian/train/1.jpg,0
/opt/ml/input/ext_data/megaage_asian/train/8.jpg,0
/opt/ml/input/ext_data/megaage_asian/train/9.jpg,0
/opt/ml/input/ext_data/megaage_asian/train/10.jpg,1
/opt/ml/input/ext_data/megaage_asian/train/11.jpg,0
/opt/ml/input/ext_data/megaage_asian/train/12.jpg,1
/opt/ml/input/ext_data/megaage_asian/train/13.jpg,2
/opt/ml/input/ext_data/megaage_asian/train/14.jpg,1
/opt/ml/input/ext_data/megaage_asian/train/16.jpg,1
/opt/ml/input/ext_data/megaage_asian/train/18.jpg,1
/opt/ml/input/ext_data/megaage_asian/train/19.jpg,2
/opt/ml/input/ext_data/megaage_asian/train/20.jpg,0
/opt/ml/input/ext_data/megaage_asian/train/21.jpg,1
/opt/ml/input/ext_data/megaage_asian/train/22.jpg,0
/opt/ml/input/ext_data/megaage_asian/train/25.jpg,0
/opt/ml/input/ext_data/megaage_asian/train/26.jpg,1
/opt/ml/input/ext_data/megaage_asian/train/28.jpg,1
/opt/ml/input/ext_data/megaage_asian/train/30.jpg,1
/opt/ml/input/ext_data/megaage_asian/train/32.jpg,0
/opt/ml/input/ext_data/megaage_asian/train/34.jpg,0
/opt/ml/input/ext_data/megaage_asian/train/37.jpg,0
/opt/ml/input/ext_data/megaage_asian/train/40.jpg,0
/opt/ml/input/ext_data/megaage_asian/train/41.jpg,1
/opt/ml/input/ext_data/megaage_asian/train/42.jpg,0
/opt/ml/input/ext_data/megaage_asian/train/45.jpg,1
/opt/ml/input/ext_data/megaage_asian/train/46.jpg,0
/opt/ml/input/ext_data/megaage_asian/train/47.jpg,0
/opt/ml/input/ext_data/megaage_asian/train/50.jpg,1
/opt/ml/input/ext_data/megaage_asian/train/51.jpg,0
/opt/ml/input/ext_data/megaage_asian/train/53.jpg,1
/opt/ml/input/ext_data/megaage_asian/train/54.jpg,1
/opt/ml/input/ext_data/megaage_asian/train/56.jpg,0
/opt/ml/input/ext_data/megaage_asian/train/57.jpg,1
/opt/ml/input/ext_data/megaage_asian/train/58.jpg,0
/opt/ml/input/ext_data/megaage_asian/train/59.jpg,0
/opt/ml/input/ext_data/megaage_asian/train/61.jpg,1
/opt/ml/input/ext_data/megaage_asian/train/62.jpg,1
/opt/ml/input/ext_data/megaage_asian/train/64.jpg,0
/opt/ml/input/ext_data/megaage_asian/train/65.jpg,0
/opt/ml/input/ext_data/megaage_asian/train/66.jpg,0
/opt/ml/input/ext_data/megaage_asian/train/67.jpg,0
/opt/ml/input/ext_data/megaage_asian/train/71.jpg,0
/opt/ml/input/ext_data/megaage_asian/train/72.jpg,1
/opt/ml/input/ext_data/megaage_asian/train/73.jpg,1
/opt/ml/input/ext_data/megaage_asian/train/75.jpg,1
/opt/ml/input/ext_data/megaage_asian/train/76.jpg,1
/opt/ml/input/ext_data/megaage_asian/train/77.jpg,1
/opt/ml/input/ext_data/megaage_asian/train/78.jpg,0
/opt/ml/input/ext_data/megaage_asian/train/79.jpg,0
/opt/ml/input/ext_data/megaage_asian/train/83.jpg,1
/opt/ml/input/ext_data/megaage_asian/train/85.jpg,0
/opt/ml/input/ext_data/megaage_asian/train/86.jpg,1
/opt/ml/input/ext_data/megaage_asian/train/88.jpg,1
/opt/ml/input/ext_data/megaage_asian/train/89.jpg,0
/opt/ml/input/ext_data/megaage_asian/train/90.jpg,1
/opt/ml/input/ext_data/megaage_asian/train/93.jpg,1
/opt/ml/input/ext_data/megaage_asian/train/95.jpg,1
/opt/ml/input/ext_data/megaage_asian/train/96.jpg,2
/opt/ml/input/ext_data/megaage_asian/train/99.jpg,0
/opt/ml/input/ext_data/megaage_asian/train/102.jpg,1
/opt/ml/input/ext_data/megaage_asian/train/103.jpg,0
/opt/ml/input/ext_data/megaage_asian/train/108.jpg,0
/opt/ml/input/ext_data/megaage_asian/train/109.jpg,1
/opt/ml/input/ext_data/megaage_asian/train/111.jpg,1
/opt/ml/input/ext_data/megaage_asian/train/112.jpg,0
/opt/ml/input/ext_data/megaage_asian/train/113.jpg,1
/opt/ml/input/ext_data/megaage_asian/train/114.jpg,0
/opt/ml/input/ext_data/megaage_asian/train/118.jpg,0
/opt/ml/input/ext_data/megaage_asian/train/121.jpg,1
/opt/ml/input/ext_data/megaage_asian/train/122.jpg,0
/opt/ml/input/ext_data/megaage_asian/train/126.jpg,1
/opt/ml/input/ext_data/megaage_asian/train/129.jpg,0
/opt/ml/input/ext_data/megaage_asian/train/130.jpg,1
/opt/ml/input/ext_data/megaage_asian/train/131.jpg,1
/opt/ml/input/ext_data/megaage_asian/train/133.jpg,2
/opt/ml/input/ext_data/megaage_asian/train/135.jpg,0
/opt/ml/input/ext_data/megaage_asian/train/136.jpg,0
/opt/ml/input/ext_data/megaage_asian/train/138.jpg,0
/opt/ml/input/ext_data/megaage_asian/train/140.jpg,0
/opt/ml/input/ext_data/megaage_asian/train/142.jpg,0
/opt/ml/input/ext_data/megaage_asian/train/148.jpg,0
/opt/ml/input/ext_data/megaage_asian/train/150.jpg,0
/opt/ml/input/ext_data/megaage_asian/train/158.jpg,1
/opt/ml/input/ext_data/megaage_asian/train/160.jpg,1
/opt/ml/input/ext_data/megaage_asian/train/162.jpg,1
/opt/ml/input/ext_data/megaage_asian/train/163.jpg,1
/opt/ml/input/ext_data/megaage_asian/train/164.jpg,0
/opt/ml/input/ext_data/megaage_asian/train/165.jpg,0
/opt/ml/input/ext_data/megaage_asian/train/166.jpg,1
/opt/ml/input/ext_data/megaage_asian/train/168.jpg,0
/opt/ml/input/ext_data/megaage_asian/train/169.jpg,0
/opt/ml/input/ext_data/megaage_asian/train/170.jpg,1
/opt/ml/input/ext_data/megaage_asian/train/175.jpg,0
/opt/ml/input/ext_data/megaage_asian/train/176.jpg,2
/opt/ml/input/ext_data/megaage_asian/train/178.jpg,0
/opt/ml/input/ext_data/megaage_asian/train/179.jpg,0
/opt/ml/input/ext_data/megaage_asian/train/180.jpg,2
/opt/ml/input/ext_data/megaage_asian/train/181.jpg,0
/opt/ml/input/ext_data/megaage_asian/train/183.jpg,0
/opt/ml/input/ext_data/megaage_asian/train/184.jpg,0
/opt/ml/input/ext_data/megaage_asian/train/185.jpg,1
/opt/ml/input/ext_data/megaage_asian/train/186.jpg,0
/opt/ml/input/ext_data/megaage_asian/train/192.jpg,1
/opt/ml/input/ext_data/megaage_asian/train/194.jpg,0
/opt/ml/input/ext_data/megaage_asian/train/195.jpg,0
/opt/ml/input/ext_data/megaage_asian/train/196.jpg,0
/opt/ml/input/ext_data/megaage_asian/train/197.jpg,1
/opt/ml/input/ext_data/megaage_asian/train/199.jpg,1
/opt/ml/input/ext_data/megaage_asian/train/202.jpg,1
/opt/ml/input/ext_data/megaage_asian/train/203.jpg,1
/opt/ml/input/ext_data/megaage_asian/train/204.jpg,1
/opt/ml/input/ext_data/megaage_asian/train/205.jpg,0
/opt/ml/input/ext_data/megaage_asian/train/206.jpg,1
/opt/ml/input/ext_data/megaage_asian/train/207.jpg,0
/opt/ml/input/ext_data/megaage_asian/train/208.jpg,1
/opt/ml/input/ext_data/megaage_asian/train/210.jpg,0
/opt/ml/input/ext_data/megaage_asian/train/211.jpg,1
/opt/ml/input/ext_data/megaage_asian/train/214.jpg,0
/opt/ml/input/ext_data/megaage_asian/train/216.jpg,2
/opt/ml/input/ext_data/megaage_asian/train/225.jpg,0
/opt/ml/input/ext_data/megaage_asian/train/228.jpg,0
/opt/ml/input/ext_data/megaage_asian/train/229.jpg,0
/opt/ml/input/ext_data/megaage_asian/train/231.jpg,1
/opt/ml/input/ext_data/megaage_asian/train/232.jpg,0
/opt/ml/input/ext_data/megaage_asian/train/233.jpg,0
/opt/ml/input/ext_data/megaage_asian/train/234.jpg,1
/opt/ml/input/ext_data/megaage_asian/train/236.jpg,1
/opt/ml/input/ext_data/megaage_asian/train/237.jpg,1
/opt/ml/input/ext_data/megaage_asian/train/238.jpg,1
/opt/ml/input/ext_data/megaage_asian/train/239.jpg,1
/opt/ml/input/ext_data/megaage_asian/train/240.jpg,0
/opt/ml/input/ext_data/megaage_asian/train/241.jpg,0
/opt/ml/input/ext_data/megaage_asian/train/246.jpg,1
/opt/ml/input/ext_data/megaage_asian/train/249.jpg,1
/opt/ml/input/ext_data/megaage_asian/train/250.jpg,1
/opt/ml/input/ext_data/megaage_asian/train/251.jpg,0
/opt/ml/input/ext_data/megaage_asian/train/253.jpg,1
/opt/ml/input/ext_data/megaage_asian/train/254.jpg,0
/opt/ml/input/ext_data/megaage_asian/train/255.jpg,1
/opt/ml/input/ext_data/megaage_asian/train/256.jpg,2
/opt/ml/input/ext_data/megaage_asian/train/257.jpg,0
/opt/ml/input/ext_data/megaage_asian/train/260.jpg,0
/opt/ml/input/ext_data/megaage_asian/train/261.jpg,0
/opt/ml/input/ext_data/megaage_asian/train/262.jpg,0
/opt/ml/input/ext_data/megaage_asian/train/264.jpg,1
/opt/ml/input/ext_data/megaage_asian/train/273.jpg,0
/opt/ml/input/ext_data/megaage_asian/train/275.jpg,0
/opt/ml/input/ext_data/megaage_asian/train/278.jpg,1
/opt/ml/input/ext_data/megaage_asian/train/280.jpg,0
/opt/ml/input/ext_data/megaage_asian/train/281.jpg,0
/opt/ml/input/ext_data/megaage_asian/train/282.jpg,1
