id,gender,race,age,path,normal,incorrect,mask1,mask2,mask3,mask4,mask5
001024,male,Asian,58,001024_male_Asian_58,/opt/ml/input/data/train/images/001024_male_Asian_58/normal.jpg,/opt/ml/input/data/train/images/001024_male_Asian_58/incorrect_mask.jpg,/opt/ml/input/data/train/images/001024_male_Asian_58/mask1.jpg,/opt/ml/input/data/train/images/001024_male_Asian_58/mask2.jpg,/opt/ml/input/data/train/images/001024_male_Asian_58/mask3.jpg,/opt/ml/input/data/train/images/001024_male_Asian_58/mask4.jpg,/opt/ml/input/data/train/images/001024_male_Asian_58/mask5.jpg
006096,male,Asian,19,006096_male_Asian_19,/opt/ml/input/data/train/images/006096_male_Asian_19/normal.jpg,/opt/ml/input/data/train/images/006096_male_Asian_19/incorrect_mask.jpg,/opt/ml/input/data/train/images/006096_male_Asian_19/mask1.jpg,/opt/ml/input/data/train/images/006096_male_Asian_19/mask2.jpg,/opt/ml/input/data/train/images/006096_male_Asian_19/mask3.jpg,/opt/ml/input/data/train/images/006096_male_Asian_19/mask4.jpg,/opt/ml/input/data/train/images/006096_male_Asian_19/mask5.jpg
004389,female,Asian,36,004389_female_Asian_36,/opt/ml/input/data/train/images/004389_female_Asian_36/normal.jpg,/opt/ml/input/data/train/images/004389_female_Asian_36/incorrect_mask.jpg,/opt/ml/input/data/train/images/004389_female_Asian_36/mask1.jpg,/opt/ml/input/data/train/images/004389_female_Asian_36/mask2.jpg,/opt/ml/input/data/train/images/004389_female_Asian_36/mask3.jpg,/opt/ml/input/data/train/images/004389_female_Asian_36/mask4.jpg,/opt/ml/input/data/train/images/004389_female_Asian_36/mask5.jpg
006649,male,Asian,19,006649_male_Asian_19,/opt/ml/input/data/train/images/006649_male_Asian_19/normal.jpeg,/opt/ml/input/data/train/images/006649_male_Asian_19/incorrect_mask.jpeg,/opt/ml/input/data/train/images/006649_male_Asian_19/mask1.jpeg,/opt/ml/input/data/train/images/006649_male_Asian_19/mask2.jpeg,/opt/ml/input/data/train/images/006649_male_Asian_19/mask3.jpeg,/opt/ml/input/data/train/images/006649_male_Asian_19/mask4.jpeg,/opt/ml/input/data/train/images/006649_male_Asian_19/mask5.jpeg
001332,male,Asian,25,001332_male_Asian_25,/opt/ml/input/data/train/images/001332_male_Asian_25/normal.jpg,/opt/ml/input/data/train/images/001332_male_Asian_25/incorrect_mask.jpg,/opt/ml/input/data/train/images/001332_male_Asian_25/mask1.jpg,/opt/ml/input/data/train/images/001332_male_Asian_25/mask2.jpg,/opt/ml/input/data/train/images/001332_male_Asian_25/mask3.jpg,/opt/ml/input/data/train/images/001332_male_Asian_25/mask4.jpg,/opt/ml/input/data/train/images/001332_male_Asian_25/mask5.jpg
005544,male,Asian,32,005544_male_Asian_32,/opt/ml/input/data/train/images/005544_male_Asian_32/normal.jpg,/opt/ml/input/data/train/images/005544_male_Asian_32/incorrect_mask.jpg,/opt/ml/input/data/train/images/005544_male_Asian_32/mask1.jpg,/opt/ml/input/data/train/images/005544_male_Asian_32/mask2.jpg,/opt/ml/input/data/train/images/005544_male_Asian_32/mask3.jpg,/opt/ml/input/data/train/images/005544_male_Asian_32/mask4.jpg,/opt/ml/input/data/train/images/005544_male_Asian_32/mask5.jpg
004320,female,Asian,58,004320_female_Asian_58,/opt/ml/input/data/train/images/004320_female_Asian_58/normal.jpg,/opt/ml/input/data/train/images/004320_female_Asian_58/incorrect_mask.jpg,/opt/ml/input/data/train/images/004320_female_Asian_58/mask1.jpg,/opt/ml/input/data/train/images/004320_female_Asian_58/mask2.jpg,/opt/ml/input/data/train/images/004320_female_Asian_58/mask3.jpg,/opt/ml/input/data/train/images/004320_female_Asian_58/mask4.jpg,/opt/ml/input/data/train/images/004320_female_Asian_58/mask5.jpg
006706,male,Asian,20,006706_male_Asian_20,/opt/ml/input/data/train/images/006706_male_Asian_20/normal.jpg,/opt/ml/input/data/train/images/006706_male_Asian_20/incorrect_mask.jpg,/opt/ml/input/data/train/images/006706_male_Asian_20/mask1.jpg,/opt/ml/input/data/train/images/006706_male_Asian_20/mask2.jpg,/opt/ml/input/data/train/images/006706_male_Asian_20/mask3.jpg,/opt/ml/input/data/train/images/006706_male_Asian_20/mask4.jpg,/opt/ml/input/data/train/images/006706_male_Asian_20/mask5.jpg
005417,female,Asian,43,005417_female_Asian_43,/opt/ml/input/data/train/images/005417_female_Asian_43/normal.jpg,/opt/ml/input/data/train/images/005417_female_Asian_43/incorrect_mask.jpg,/opt/ml/input/data/train/images/005417_female_Asian_43/mask1.jpg,/opt/ml/input/data/train/images/005417_female_Asian_43/mask2.jpg,/opt/ml/input/data/train/images/005417_female_Asian_43/mask3.jpg,/opt/ml/input/data/train/images/005417_female_Asian_43/mask4.jpg,/opt/ml/input/data/train/images/005417_female_Asian_43/mask5.jpg
001197,male,Asian,25,001197_male_Asian_25,/opt/ml/input/data/train/images/001197_male_Asian_25/normal.jpg,/opt/ml/input/data/train/images/001197_male_Asian_25/incorrect_mask.jpg,/opt/ml/input/data/train/images/001197_male_Asian_25/mask1.jpg,/opt/ml/input/data/train/images/001197_male_Asian_25/mask2.jpg,/opt/ml/input/data/train/images/001197_male_Asian_25/mask3.jpg,/opt/ml/input/data/train/images/001197_male_Asian_25/mask4.jpg,/opt/ml/input/data/train/images/001197_male_Asian_25/mask5.jpg
